AVAILABILITYZONE,BILLEDCOST,BILLINGACCOUNTID,BILLINGACCOUNTNAME,BILLINGCURRENCY,BILLINGPERIODEND,BILLINGPERIODSTART,CHARGECATEGORY,CHARGECLASS,CHARGEDESCRIPTION,CHARGEFREQUENCY,CHARGEPERIODEND,CHARGEPERIODSTART,COMMITMENTDISCOUNTCATEGORY,COMMITMENTDISCOUNTID,COMMITMENTDISCOUNTNAME,COMMITMENTDISCOUNTSTATUS,COMMITMENTDISCOUNTTYPE,CONSUMEDQUANTITY,CONSUMEDUNIT,CONTRACTEDCOST,CONTRACTEDUNITPRICE,EFFECTIVECOST,INVOICEISSUERNAME,LISTCOST,LISTUNITPRICE,PRICINGCATEGORY,PRICINGQUANTITY,PRICINGUNIT,PROVIDERNAME,PUBLISHERNAME,REGIONID,REGIONNAME,RESOURCEID,RESOURCENAME,RESOURCETYPE,SERVICECATEGORY,SERVICENAME,SKUID,SKUPRICEID,SUBACCOUNTID,SUBACCOUNTNAME,TAGS,X_COSTCATEGORIES,X_DISCOUNTS,X_OPERATION,X_SERVICECODE,X_USAGETYPE
,0,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.048 per provisioned MiBps-month of gp3 - Asia Pacific (Sydney),Usage-Based,00:00.0,00:00.0,,,,,,0,GiB/Second-Months,0,38.33856,0,Amazon Web Services Australia Pty Ltd,0,49.152,Standard,0,GiB/Second-Months,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),iby-57n9r636p89777o84,,,Storage,Amazon Elastic Compute Cloud,NR674TZUSQXFCVM8,NR674TZUSQXFCVM8.JRTCKXETXF.6YS6EN2CT7,2.35046E+11,gsafj-bf-cgvcf57-abacebq,"{
  ""key_value"": [
    {
      ""key"": ""Name"",
      ""value"": ""dev8-gtfsprovider""
    },
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-os-ptips02-nonprod""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""0000132020""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":0.000000000000000e+00},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":0.000000000000000e+00}]}",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-Throughput.gp3
,3.71E-08,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.098 per GB - Asia Pacific (Sydney) data transfer to US East (Northern Virginia),Usage-Based,00:00.0,00:00.0,,,,,,4.852E-07,GB,3.71E-08,0.076463314,3.71E-08,Amazon Web Services Australia Pty Ltd,4.75E-08,0.098,Standard,4.852E-07,GB,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),cgvcf-ohvyq-ffvf-onpxhcf-qnvyl,,bucket,Storage,Amazon Simple Storage Service,PM7SF7GUUSEM94ZC,PM7SF7GUUSEM94ZC.JRTCKXETXF.6YS6EN2CT7,2.35046E+11,gsafj-bf-cgvcf57-abacebq,"{
  ""key_value"": [
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-os-ptips02-nonprod""
    },
    {
      ""key"": ""CostCentre"",
      ""value"": ""TBD""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""0000132020""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-1.050000000000000e-08},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-1.050000000000000e-08}]}",ReadBucketReplication,AmazonS3,APS2-USE1-AWS-Out-Bytes
,7.3E-09,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.055 per GB-Month of ONTAP backup storage - Asia Pacific (Sydney),Usage-Based,00:00.0,00:00.0,,,,,,1.702E-07,GB-Months,7.3E-09,0.042890717,7.3E-09,Amazon Web Services Australia Pty Ltd,9.4E-09,0.055,Standard,1.702E-07,GB-Months,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),arn:aws:fsx:ap-southeast-2:869402194052,,,Storage,Amazon FSx,UBUU95WUVH95QV7U,UBUU95WUVH95QV7U.JRTCKXETXF.6YS6EN2CT7,8.69402E+11,gsafj-pbecbengrvg-rdhvcfvg-abacebq,"{
  ""key_value"": [
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-corporateit-equipsit-nonprod""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""1000182124""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-2.100000000000000e-09},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-2.100000000000000e-09}]}",CreateFileSystem:ONTAP,AmazonFSx,APS2-BackupUsage
,6.864E-07,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,00:00.0,00:00.0,,,,,,2,Requests,6.864E-07,3.432E-07,6.864E-07,Amazon Web Services Australia Pty Ltd,0.00000088,0.00000044,Standard,2,Requests,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),ertbs,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,52215556563,gsafj-nqfg-qvpr-qri,"{
  ""key_value"": [
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-adst-dice-dev""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""0000182125""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-1.936000000000000e-07},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-1.936000000000000e-07}]}",ReadBucketPublicAccessBlock,AmazonS3,APS2-Requests-Tier2
,3.432E-07,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,00:00.0,00:00.0,,,,,,1,Requests,3.432E-07,3.432E-07,3.432E-07,Amazon Web Services Australia Pty Ltd,0.00000044,0.00000044,Standard,1,Requests,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),neptvf-pbasvt-fgber-neptvfqriubfg,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,1.10781E+11,ezf-onuf-njf-abacebq,"{
  ""key_value"": [
    {
      ""key"": ""Application_Name"",
      ""value"": ""ArcGis Platform""
    },
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""ArcGis Platform""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""0000182133""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-9.680000000000001e-08},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-9.680000000000001e-08}]}",ReadVersioningProps,AmazonS3,APS2-Requests-Tier2
,0,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.006 per provisioned IOPS-month of gp3 - Asia Pacific (Sydney),Usage-Based,00:00.0,00:00.0,,,,,,0,IOPS-Months,0,0.00468,0,Amazon Web Services Australia Pty Ltd,0,0.006,Standard,0,IOPS-Months,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),iby-5pqq3813s4915o352,,,Storage,Amazon Elastic Compute Cloud,69EGQ83GFYZBFNWU,69EGQ83GFYZBFNWU.JRTCKXETXF.6YS6EN2CT7,1.76818E+11,gsafj-pbr-rdhvcfcg-abacebq,"{
  ""key_value"": [
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-coe-equipspt-nonprod""
    },
    {
      ""key"": ""map-migrated"",
      ""value"": ""sap45200""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":0.000000000000000e+00},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":0.000000000000000e+00}]}",CreateVolume-Gp3,AmazonEC2,APS2-EBS:VolumeP-IOPS.gp3
,1.086E-07,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.020 per GB - All data transfer out to Origin (Europe),Usage-Based,00:00.0,00:00.0,,,,,,5.4296E-06,GB,1.086E-07,0.020001473,1.086E-07,Amazon Web Services Australia Pty Ltd,1.086E-07,0.02,Standard,5.4296E-06,GB,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,eu-west-1,Europe,arn:aws:cloudfront::646924912074,,distribution,Networking,Amazon CloudFront,C3HHMR3U9CR9AK63,C3HHMR3U9CR9AK63.JRTCKXETXF.6YS6EN2CT7,6.46925E+11,gsafj-nqfg-qvpr-cebq,"{
  ""key_value"": [
    {
      ""key"": ""Site"",
      ""value"": ""mps-fe""
    },
    {
      ""key"": ""Name"",
      ""value"": ""mps-fe-mps-fe-prod-cloudfront""
    },
    {
      ""key"": ""SolutionName"",
      ""value"": ""mps-fe""
    },
    {
      ""key"": ""CostCentre"",
      ""value"": ""cds""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":0.000000000000000e+00},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount""}]}",POST,AmazonCloudFront,EU-DataTransfer-Out-OBytes
,3.432E-07,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,"$0.0044 per 10,000 GET and all other requests",Usage-Based,00:00.0,00:00.0,,,,,,1,Requests,3.432E-07,3.432E-07,3.432E-07,Amazon Web Services Australia Pty Ltd,0.00000044,0.00000044,Standard,1,Requests,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),fyf-gznc-cg-genirycnggreaf-eng-qngnohpxrg-75dty2iv9svb,,bucket,Storage,Amazon Simple Storage Service,ZE67FX933AEQ43H2,ZE67FX933AEQ43H2.JRTCKXETXF.6YS6EN2CT7,2.91212E+11,gsafj-gfq-gznc-abacebq,"{
  ""key_value"": [
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-tsd-tmap-nonprod""
    },
    {
      ""key"": ""ccoe:default:sub-env"",
      ""value"": ""rat""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""0000141022""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-9.680000000000001e-08},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-9.680000000000001e-08}]}",ReadBucketReplication,AmazonS3,APS2-Requests-Tier2
ap-southeast-2,0.0000195,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.000025 per state transition,Usage-Based,00:00.0,00:00.0,,,,,,1,StateTransitions,0.0000195,0.0000195,0.0000195,Amazon Web Services Australia Pty Ltd,0.000025,0.000025,Standard,1,StateTransitions,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),arn:aws:states:ap-southeast-2:234622589025,,,Compute,AWS Step Functions,FD3VCRWY9DWQNNR2,FD3VCRWY9DWQNNR2.JRTCKXETXF.6YS6EN2CT7,2.34623E+11,gsafj-nnv-qngncyngsbez-cebq,"{
  ""key_value"": [
    {
      ""key"": ""A_3"",
      ""value"": ""prod""
    },
    {
      ""key"": ""A_2"",
      ""value"": ""ops""
    },
    {
      ""key"": ""A_1"",
      ""value"": ""internal""
    },
    {
      ""key"": ""A_4"",
      ""value"": ""etl-opal-batch""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-5.500000000000000e-06},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-5.500000000000000e-06}]}",Choice,AmazonStates,APS2-StateTransition
,0.000521789,4.28183E+11,gsafj-nalpybhq-zcn57-cebq,USD,00:00.0,00:00.0,Usage,,$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,Usage-Based,00:00.0,00:00.0,,,,,,0.066896012,GB,0.000521789,0.0078,0.000521789,Amazon Web Services Australia Pty Ltd,0.00066896,0.01,Standard,0.066896012,GB,AWS,Nznmba Jro Freivprf Nhfgenyvn Cgl Ygq,ap-southeast-2,Asia Pacific (Sydney),arn:aws:ec2:ap-southeast-2:234622589025,,,Compute,Amazon Elastic Compute Cloud,5D2MW78KPJPRV7WA,5D2MW78KPJPRV7WA.JRTCKXETXF.6YS6EN2CT7,2.34623E+11,gsafj-nnv-qngncyngsbez-cebq,"{
  ""key_value"": [
    {
      ""key"": ""Name"",
      ""value"": ""789177034570-NATGW-AZA""
    },
    {
      ""key"": ""ccoe:default:app-ci"",
      ""value"": ""tfnsw-aai-dataplatform-prod""
    },
    {
      ""key"": ""ccoe:org:cost-code"",
      ""value"": ""0000131039""
    }
  ]
}",,"{""key_value"":[{""key"":""total_discount"",""value"":-1.471712000000000e-04},{""key"":""bundled_discount"",""value"":0.000000000000000e+00},{""key"":""edp_discount"",""value"":-1.471712000000000e-04}]}",PublicIP-In,AmazonEC2,APS2-DataTransfer-Regional-Bytes
